Arsenal items
Name;Load;Dammage;Armor;Capacity;Wood;Wheat;Stone;Iron;Gold;Crystal

backpack items
QuiverA;1;0;0;10;0;1;0;0;0;0
QuiverB;1;0;0;10;0;1;0;0;0;0
RessourceContainer;1;0;0;30;0;1;0;0;0;0
AdventureBackpack;1;0;0;50;1;1;0;0;1;0

shield items
RoundA;1;0;2;0;1;0;0;0;0;0
RoundB;2;0;3;0;1;0;0;1;0;0
KiteA;2;0;3;0;1;0;0;1;0;0
KiteB;2;0;3;0;1;0;0;1;0;0
KiteC;2;0;3;0;1;0;0;1;0;0
KiteD;2;0;3;0;1;0;0;1;0;0
KiteE;2;0;3;0;1;0;0;1;0;0
CavaleryA;3;0;5;0;1;0;0;1;0;0
CavaleryB;3;0;5;0;1;0;0;1;0;0
RectangleA;3;0;5;0;1;0;0;1;0;0
KiteF;3;0;5;0;1;0;0;1;0;0
CavaleryC;3;0;5;0;1;0;0;1;0;0
KiteG;4;0;6;0;1;0;0;1;0;0
RectangleB;4;0;6;0;1;0;0;1;0;0
CavaleryD;3;0;5;0;1;0;0;1;0;0
CavaleryE;3;0;5;0;1;0;0;0;1;0
CavaleryF;3;0;6;0;1;0;0;0;1;0
KiteH;3;0;6;0;1;0;0;0;1;0
CavaleryG;3;0;6;0;1;0;0;0;1;0
KiteI;3;0;6;0;1;0;0;0;1;0
KiteJ;3;0;6;0;1;0;0;0;1;0
KiteK;3;0;6;0;1;0;0;0;1;0
RectangleC;4;0;8;0;1;0;0;0;1;0

second hand items
LongBow;2;5;0;0;1;0;0;0;0;0
RecurveBow;1;4;0;0;2;0;0;0;0;0
ShortBow;1;3;0;0;1;0;0;0;0;0
StaffA;1;1;0;0;1;0;0;0;0;0
StaffB;2;2;0;0;1;0;0;1;0;0
StaffC;2;3;0;0;1;0;0;0;1;0
StaffD;2;3;0;0;1;0;0;0;0;1

weapon items
AxeA;1;2;0;0;1;0;0;1;0;0
AxeB;2;3;0;0;1;0;0;1;0;0
AxeC;2;3;0;0;1;0;0;1;0;0
AxeD;3;5;0;0;1;0;0;2;0;0
AxeE;3;5;0;0;1;0;0;0;1;0
Bardiche;2;5;0;0;1;0;0;1;0;0
BroadSwordA;1;2;0;0;0;0;0;1;0;0
BroadSwordB;1;2;0;0;0;0;0;1;0;0
Club;1;3;0;0;1;0;0;0;0;0
CrossbowA;3;5;0;0;1;0;0;0;0;0
CrossbowB;3;5;0;0;1;0;0;0;1;0
DaggerA;1;2;0;0;0;0;0;1;0;0
DaggerB;1;2;0;0;0;0;0;1;0;0
DaggerC;1;2;0;0;0;0;0;1;1;0
Glaive;2;5;0;0;1;0;0;1;0;0
Halberd;2;6;0;0;1;0;0;1;0;0
Hammer;1;2;0;0;1;0;1;0;0;0
MaceA;2;5;0;0;1;0;0;1;0;0
MaceB;2;5;0;0;1;0;0;1;1;0
MaulA;2;5;0;0;1;0;0;1;0;0
MaulB;2;5;0;0;1;0;0;1;1;0
MorningStar;2;5;0;0;1;0;0;1;0;0
Pickaxe;1;2;0;0;1;0;0;1;0;0
Pike;3;7;0;0;1;0;0;1;0;0
Sabre;3;5;0;0;0;0;0;1;0;0
ShortSwordA;3;5;0;0;0;0;0;1;0;0
ShortSwordB;3;5;0;0;0;0;0;1;1;0
Spear;2;5;0;0;1;0;0;1;0;0
SwordA;3;6;0;0;0;0;0;1;0;0
SwordB;3;6;0;0;0;0;0;1;1;0
BigAxeA;5;10;0;0;1;0;0;1;0;0
BigAxeB;5;10;0;0;1;0;0;2;0;0
Claymore;5;10;0;0;0;0;0;2;0;0
BigClub;4;7;0;0;1;0;1;0;0;0
BigMaulA;5;10;0;0;1;0;0;2;0;0
BigMaulB;5;10;0;0;1;0;0;1;1;0
BigSwordA;5;10;0;0;0;0;0;2;0;0
BigSwordB;5;10;0;0;0;0;0;2;1;0
BigWarhammerA;5;10;0;0;1;0;0;2;0;0
BigWarhammerB;5;10;0;0;1;0;0;0;2;0
Warhammer;3;6;0;0;1;0;0;1;0;0
Sickle;1;2;0;0;0;0;0;1;0;0
CavalryLanceA;3;7;0;0;1;0;0;1;0;0
CavalryLanceB;5;10;0;0;1;0;0;1;0;0
